CompanyIDAndName,FTE AC - All months
401 - Nexer AB,721.4970238095239
406 - Nexer Enterprise Applications Holding AB,1
407 - Nexer Insight AB,55.34523809523809
410 - Nexer Cyber Security AB,21.711309523809526
411 - Nexer Unified Commerce AB,32.56964285714285
412 - Nexer Data Management AB,11.666666666666666
414 - Nexer Telescope AB,96.62380952380951
415 - Nexer Engineering AB,29.80952380952381
417 - Nexer Enterprise Application AB,111.44880952380953
418 - Nexer Engineering Process AB,24.380952380952383
421 - Kairos Future AB,20
432 - Nexer Digital Ltd,66.5
433 - Nexer GmbH,2
440 - Nexer Prv Ltd,1.6190476190476193
442 - Holisticon Connect Sp.z.o.o,136.55833333333334
443 - Nexer Enterprise Applications Ltd,53
444 - Nexer Enterprise Applications Prv India,5.238095238095236
445 - Nexer Enterprise Applications - Holding S.A.,1
446 - Nexer Insight  Sp.z.o.o.,40.841071428571425
449 - Nexer Insight Ltd,1
451 - Nexer Suporte,232
456 - Nexer Group S.A.S,34.71739130434782
457 - Nexer Czech Republic,6.761363636363637
458 - Nexer Enterprise Applications SAS,5
459 - Nexer Enterprise Applications Unipessoal Lda,4
463 - Nexer Data Management Prv Ltd,0.8333333333333335
464 - Nexer Data Management ApS,2
467 - Holisticon AG,71
469 - Nexer Inc,24
901 - Nexer Recruit AB,17.142857142857142
903 - Nexer Tech Talent AB,187.125
904 - Nexer Infrastructure AB,112.19940476190477
